position,time,race_num,country,gender,catagory
504,07:51:40,53632,RSA,M,SEN
505,07:51:52,39819,RSA,M,VET
506,07:51:53,40501,RSA,M,SEN
507,07:51:55,33850,RSA,M,VET
508,07:51:59,36610,RSA,M,VET
509,07:52:03,35554,RSA,M,VET
510,07:52:11,55704,RSA,M,VET
511,07:52:16,52996,RSA,M,VET
512,07:52:20,35507,RSA,M,VET
513,07:52:20,9634,RSA,M,SEN
514,07:52:23,28477,LES,M,SEN
515,07:52:40,57122,RSA,M,SEN
516,07:52:46,18284,RSA,M,SEN
517,07:52:56,23248,RSA,M,VET
518,07:52:59,12597,USA,M,SEN
519,07:53:04,56209,RSA,M,VET
520,07:53:04,37125,ZIM,M,SEN
521,07:53:15,49311,RSA,M,VET
522,07:53:49,27776,RSA,M,SEN
523,07:53:53,3010,ESP,M,VET
524,07:54:05,38208,RSA,M,SEN
525,07:54:06,50587,RSA,M,SEN
526,07:54:08,48458,RSA,M,SEN
527,07:54:08,48697,RSA,M,VET
528,07:54:08,39020,RSA,M,VET
529,07:54:08,17776,RSA,M,SEN
530,07:54:21,56915,RSA,M,SEN
531,07:54:21,59235,RSA,F,VET
532,07:54:21,51440,RSA,M,SEN
533,07:54:21,55414,RSA,M,SEN
534,07:54:23,13662,RSA,M,SEN
535,07:54:24,51447,RSA,M,VET
536,07:54:25,26621,RSA,M,VET
537,07:54:31,57383,RSA,M,SEN
538,07:54:43,36994,RSA,M,VET
539,07:54:44,55937,RSA,M,SEN
540,07:54:50,15867,RSA,M,VET
541,07:54:52,41876,RSA,M,SEN
542,07:55:06,25152,RSA,M,SEN
543,07:55:07,44978,RSA,M,VET
544,07:55:24,6866,RSA,M,VET
545,07:56:06,29920,RSA,M,MAS
546,07:56:06,48381,RSA,F,SEN
547,07:56:06,52756,RSA,M,SEN
548,07:56:06,44305,RSA,M,SEN
549,07:56:14,57942,RSA,M,SEN
550,07:56:18,31831,RSA,M,SEN
551,07:56:23,54837,RSA,M,SEN
552,07:56:28,56420,RSA,M,SEN
553,07:56:44,34278,RSA,M,VET
554,07:56:58,53026,RSA,M,VET
555,07:57:11,56749,RSA,M,VET
556,07:57:12,23453,RSA,M,SEN
557,07:57:13,41405,RSA,M,SEN
558,07:57:16,15493,RSA,M,GM
559,07:57:18,24858,RSA,M,SEN
560,07:57:24,18268,RSA,M,SEN
561,07:57:26,40358,RSA,M,VET
562,07:57:27,32139,RSA,M,SEN
563,07:57:30,54533,RSA,M,SEN
564,07:57:35,56401,RSA,M,SEN
565,07:57:36,48935,RSA,M,VET
566,07:57:40,23547,RSA,M,VET
567,07:57:41,41184,RSA,M,SEN
568,07:57:43,20776,RSA,M,MAS
569,07:57:43,52315,RSA,M,SEN
570,07:57:48,9739,RSA,M,VET
571,07:58:01,16879,RSA,M,SEN
572,07:58:22,59782,RSA,M,SEN
573,07:58:29,33750,RSA,M,SEN
574,07:58:36,37138,RSA,F,VET
575,07:58:46,33257,RSA,M,SEN
576,07:58:48,48736,RSA,M,SEN
577,07:59:00,38062,RSA,M,VET
578,07:59:05,41505,RSA,M,SEN
579,07:59:09,53802,RSA,M,SEN
580,07:59:09,36886,RSA,M,SEN
581,07:59:14,57646,RSA,M,SEN
582,07:59:18,23682,RSA,M,VET
583,07:59:34,37975,RSA,M,SEN
584,07:59:35,52797,RSA,M,SEN
585,08:00:00,45878,RSA,M,SEN
586,08:00:01,50336,RSA,M,SEN
587,08:00:09,53269,RSA,M,SEN
588,08:00:26,27494,RSA,M,SEN
589,08:00:27,43942,RSA,M,SEN
590,08:00:37,27319,RSA,M,SEN
591,08:00:41,50142,RSA,M,VET
592,08:00:43,20621,GBR,M,VET
593,08:00:47,55413,AUS,M,SEN
594,08:00:50,16863,RSA,M,VET
595,08:00:53,18131,RSA,M,MAS
596,08:01:01,32609,AUS,F,VET
597,08:01:16,14002,RSA,M,VET
598,08:01:22,38273,RSA,M,SEN
599,08:01:33,47674,RSA,M,SEN
600,08:01:35,42567,RSA,M,SEN
601,08:01:44,39793,RSA,M,SEN
602,08:01:52,48842,RSA,M,SEN
603,08:01:55,38433,RSA,M,SEN
604,08:01:59,48951,RSA,M,SEN
605,08:01:59,29499,RSA,M,SEN
606,08:02:04,45328,RSA,M,SEN
607,08:02:04,48610,RSA,M,SEN
608,08:02:07,25899,RSA,M,SEN
609,08:02:25,44005,RSA,M,SEN
610,08:02:57,53889,RSA,M,VET
611,08:03:02,49119,RSA,M,MAS
612,08:03:02,53038,RSA,M,SEN
613,08:03:19,15339,RSA,M,VET
614,08:03:20,58914,RSA,M,SEN
615,08:03:22,37566,RSA,M,SEN
616,08:03:34,19225,RSA,M,SEN
617,08:03:41,52176,RSA,M,SEN
618,08:04:01,9912,LES,M,VET
619,08:04:04,53685,RSA,M,VET
620,08:04:06,31048,RSA,M,SEN
621,08:04:09,41645,RSA,M,VET
622,08:04:11,32952,RSA,M,SEN
623,08:04:14,13619,BOT,M,VET
624,08:04:15,23993,GBR,M,SEN
625,08:04:22,13907,RSA,M,MAS
626,08:04:34,38920,RSA,M,SEN
627,08:04:40,29546,LES,M,SEN
628,08:04:40,49823,RSA,M,SEN
629,08:04:42,46703,RSA,M,SEN
630,08:04:44,24908,RSA,M,VET
631,08:04:46,50510,HKG,M,MAS
632,08:04:51,49950,RSA,M,SEN
633,08:04:51,23216,RSA,M,SEN
634,08:04:51,53941,USA,M,SEN
635,08:04:52,12054,USA,M,SEN
636,08:04:56,51527,RSA,M,MAS
637,08:04:56,39577,RSA,M,SEN
638,08:04:57,42796,RSA,F,SEN
639,08:05:05,27905,RSA,M,SEN
640,08:05:11,31448,RSA,M,SEN
641,08:05:11,29292,RSA,M,SEN
642,08:05:14,56705,RSA,M,VET
643,08:05:16,59280,RSA,M,SEN
644,08:05:22,10616,RSA,M,SEN
645,08:05:23,10733,ZIM,M,VET
646,08:05:23,23790,RSA,M,SEN
647,08:05:36,36581,RSA,M,SEN
648,08:05:38,28052,RSA,M,SEN
649,08:05:42,48415,RSA,M,SEN
650,08:05:48,45359,RSA,M,VET
651,08:06:09,56361,RSA,M,VET
652,08:06:15,53441,RSA,M,SEN
653,08:06:20,27831,RSA,M,SEN
654,08:06:21,47663,RSA,M,SEN
655,08:06:24,13551,RSA,M,MAS
656,08:06:25,24470,ZIM,M,SEN
657,08:06:29,38290,RSA,M,VET
658,08:06:44,54362,RSA,F,MAS
659,08:06:46,28092,RSA,M,SEN
660,08:06:46,50860,RSA,M,VET
661,08:06:55,53762,RSA,M,SEN
662,08:06:55,26132,RSA,F,SEN
663,08:06:55,23470,RSA,M,SEN
664,08:06:55,28151,RSA,M,SEN
665,08:07:07,59670,RSA,F,SEN
666,08:07:08,21769,RSA,M,SEN
667,08:07:08,18042,RSA,M,SEN
668,08:07:08,26248,RSA,M,SEN
669,08:07:08,48261,RSA,M,SEN
670,08:07:08,55890,RSA,M,SEN
671,08:07:15,48911,RSA,M,SEN
672,08:07:33,12985,RSA,M,VET
